Ref,Val,Package,PosX,PosY,Rot,Side
"C12","cap0402_p1u10V","C_0402_1005Metric_osw",-2.400000,5.800000,0.000000,bottom
"C18","cap0402_1p0u10V","C_0402_1005Metric_osw",-6.200000,15.600000,180.000000,bottom
"Q1","Q_NMOS_ToshibaSMD","SOT95P247X115-3N",-5.412500,18.000000,180.000000,bottom
"R7","res0402_10k","R_0402_1005Metric_osw",-3.200000,17.800000,-90.000000,bottom
"R19","res0402_470","R_0402_1005Metric_osw",-6.200000,20.600000,-90.000000,bottom
"U6","FT234XD-R","SON45P300X300X80-13N",-2.725000,2.565000,-90.000000,bottom
"U11","GC9A01_IPS_display_SPI","GC9A01_IPS_display",-9.525000,21.100000,-90.000000,bottom
